id,group_id,emoji,name_ru,name_en,prompt_hint,sort_order,is_active,created_at,show_in_onboarding,is_default,description_ru
cartoon_telegram,cartoon,✈️,Телеграм,Telegram,"Flat vector cartoon illustration, simplified shapes, bold clean outlines, flat bright colors, high contrast, friendly expressive face, minimal details",1,true,2026-02-09 12:39:50.144286+00,true,true,"Мультяшный стиль как в Telegram стикерах — яркие цвета, чёткие контуры, выразительные эмоции."
anime_classic,anime,🎌,Аниме,Anime,"Japanese anime style, clean precise linework, cel-shading, large expressive eyes with detailed reflections, stylized flowing hair",2,true,2026-02-06 08:43:25.341957+00,true,false,"Классический аниме-стиль — большие глаза, тонкие линии, нежные цвета."
cartoon_american,cartoon,🎨,Мультяшный,Cartoon,"American cartoon style, bold black outlines, flat bright saturated colors, exaggerated proportions, large head, expressive funny face",3,true,2026-02-06 08:44:02.133769+00,true,false,"Американский мультяшный стиль — как в Disney или Pixar, объёмный и детализированный."
anime_romance,anime,💗,Аниме-романс,Anime Romance,"Shoujo anime style, soft pastel colors, dreamy sparkling eyes, delicate refined features, gentle expression, flowing soft hair",4,true,2026-02-06 08:43:25.341957+00,false,false,
anime_chibi,anime,🍡,Чиби,Chibi,"Chibi anime style, super-deformed proportions, oversized head 3x body size, tiny limbs, kawaii expression, simplified round features",5,true,2026-02-06 08:43:25.341957+00,true,false,
cute_kawaii,cute,✨,Каваий,Kawaii,"Japanese kawaii style, pastel pink and blue palette, round soft shapes, sparkle accents, rosy blush cheeks, cute wide eyes",6,true,2026-02-06 08:43:42.562838+00,true,false,
cute_cat,cute,🐱,Котик,Kitty,"Cute cat-ear character style, cat ears and whiskers added, playful feline expression, soft fluffy aesthetic, adorable pose",7,true,2026-02-06 08:43:42.562838+00,true,false,
love_soft,love,🌸,Пастель,Pastel,"Soft romantic watercolor style, delicate brushstrokes, warm pastel palette of blush pink peach and lavender, gentle dreamy expression, flowing delicate hair",8,true,2026-02-06 08:43:50.191729+00,true,false,
love_couple,love,👫,Парочки,Couple,"Romantic couple illustration style, warm pink tones, sweet loving atmosphere, soft warm lighting, gentle smiles, tender interaction",9,true,2026-02-06 08:43:50.191729+00,true,false,
manhwa_classic,manhwa,📖,Манхва,Manhwa,"Korean manhwa webtoon style, sharp well-defined features, detailed expressive eyes, clean digital coloring, smooth skin rendering",10,true,2026-02-06 08:44:25.115142+00,true,false,
ru_love_is,russian,💑,Love Is,Love Is,"Love Is comic strip style, simple cute characters, minimal clean lines, sweet romantic mood, Kim Casali inspired, soft warm colors",11,true,2026-02-06 08:44:39.725597+00,true,false,
ru_criminal,russian,🕶️,Бригада,Brigada,"Russian 90s crime movie illustration, Brigada style, leather jacket, serious intense expression, cinematic dramatic lighting, gritty realistic aesthetic",12,true,2026-02-06 08:44:39.725597+00,true,false,
anime_shonen,anime,⚔️,Сёнен,Shonen,"Shonen anime style, dynamic action pose, spiky hair, determined fierce expression, vibrant saturated colors",20,false,2026-02-06 08:43:25.341957+00,true,false,
anime_dark,anime,🌑,Тёмное аниме,Dark Anime,"Dark anime aesthetic, dramatic shadows, intense brooding eyes, muted colors with red/purple accents, seinen manga style",21,false,2026-02-06 08:43:25.341957+00,true,false,
meme_classic,meme,😤,Рейдж,Rage,"Internet meme style, rage comic aesthetic, bold black outlines, extremely exaggerated facial expression, simple shapes",30,false,2026-02-06 08:43:35.187826+00,true,false,
meme_pepe,meme,🐸,Пепе,Pepe,"Pepe the frog meme style, green character, simple round shapes, expressive sad or smug face, iconic meme aesthetic",31,false,2026-02-06 08:43:35.187826+00,false,false,
meme_modern,meme,💀,Зумер,Zoomer,"Modern zoomer meme style, ironic aesthetic, chaotic energy, distorted proportions, TikTok meme vibe",32,false,2026-02-06 08:43:35.187826+00,true,false,
meme_reaction,meme,😱,Реакция,Reaction,"Reaction meme face, extremely over-the-top expression, screenshot aesthetic, viral meme energy",33,false,2026-02-06 08:43:35.187826+00,false,false,
cute_animal,cute,🐾,Зверушка,Animal,"Cute anthropomorphic animal, round fluffy body, oversized sparkly eyes, soft fur texture, adorable pose",40,false,2026-02-06 08:43:42.562838+00,true,false,
cute_plush,cute,🧸,Плюшевый,Plush,"Plush toy aesthetic, soft fabric texture, stitched details, huggable round shape, button eyes",41,false,2026-02-06 08:43:42.562838+00,false,false,
love_passion,love,🔥,Страсть,Passion,"Passionate romantic illustration style. Intense loving expression, confident pose. Rich deep color palette: crimson red, burgundy, warm gold. Dramatic warm lighting with soft shadows. If TWO people — draw them in an intimate close pose. If ONE person — draw them with passionate confident expression, slight smirk. Detailed rendering, expressive eyes. STYLE OVERRIDE: Use medium-bold outline, rich saturated colors. Keep some contrast but softer than cartoon style.",42,false,2026-02-06 08:43:50.191729+00,false,false,
love_heart,love,💖,Сердечки,Hearts,"Romantic sticker style with heart accents. Pink and red warm palette, sweet cheerful expression. Small hearts as part of clothing pattern, accessories, or hair clips — NOT floating in the air. Clean composition, no background clutter. STYLE OVERRIDE: Use medium outline, warm soft contrast. No harsh edge separation.",43,false,2026-02-06 08:43:50.191729+00,true,false,
cartoon_retro,cartoon,📺,Ретро-мульт,Retro Cartoon,"Retro Soviet cartoon style, warm nostalgic colors, hand-painted aesthetic, classic animation look",50,false,2026-02-06 08:44:02.133769+00,false,false,
cartoon_3d,cartoon,🧊,3D-мульт,3D Cartoon,"3D animated movie style, soft subsurface lighting, Pixar-like render, smooth surfaces, cinematic",51,false,2026-02-06 08:44:02.133769+00,false,false,
cartoon_modern,cartoon,💎,Вектор,Vector,"Modern vector cartoon, clean geometric shapes, trendy flat design, minimalist features, stylish",52,false,2026-02-06 08:44:02.133769+00,false,false,
game_pixel,game,👾,Пиксель,Pixel,"8-bit pixel art style, retro game aesthetic, limited color palette, blocky pixelated look, nostalgic",60,false,2026-02-06 08:44:09.807463+00,false,false,
game_rpg,game,🗡️,RPG,RPG,"Fantasy RPG character style, epic hero pose, magical effects, detailed armor or costume, game art",61,false,2026-02-06 08:44:09.807463+00,false,false,
game_mobile,game,📱,Казуал,Casual,"Mobile game art style, bright saturated colors, cute proportions, casual game aesthetic",62,false,2026-02-06 08:44:09.807463+00,false,false,
drawn_sketch,drawn,✏️,Скетч,Sketch,"Pencil sketch style, hand-drawn rough lines, artistic strokes, unfinished aesthetic, graphite look",70,false,2026-02-06 08:44:17.860186+00,false,false,
drawn_watercolor,drawn,💧,Акварель,Watercolor,"Watercolor painting style, soft wet edges, color bleeding, artistic brush strokes, dreamy",71,false,2026-02-06 08:44:17.860186+00,false,false,
drawn_ink,drawn,🖤,Тушь,Ink,"Black ink drawing style, bold confident strokes, high contrast, artistic linework, monochrome",72,false,2026-02-06 08:44:17.860186+00,false,false,
manhwa_action,manhwa,💥,Экшн-манхва,Action Manhwa,"Action manhwa style, dynamic poses, intense expression, dramatic angles, powerful energy effects",80,false,2026-02-06 08:44:25.115142+00,false,false,
manhwa_romance,manhwa,💕,Романс-манхва,Romance Manhwa,"Romance manhwa style, beautiful detailed characters, soft coloring, emotional expression, webtoon romance",81,false,2026-02-06 08:44:25.115142+00,true,false,
tv_american,tv,🟡,Симпсоны,Simpsons,"American TV cartoon style like Simpsons or Family Guy, yellow skin tone optional, bold outlines, flat colors, overbite, simplified features",90,false,2026-02-06 08:44:32.292128+00,true,false,
tv_adult,tv,🔞,Саус Парк,South Park,"Adult animated series style like South Park or Rick and Morty, crude simple shapes, satirical exaggerated features, bold flat colors",91,false,2026-02-06 08:44:32.292128+00,false,false,
tv_kids,tv,🌈,Гравити Фолз,Gravity Falls,"Childrens cartoon style like Gravity Falls or Adventure Time, round friendly shapes, bright colors, cute expressive characters",92,false,2026-02-06 08:44:32.292128+00,false,false,
tv_disney,tv,🏰,Дисней,Disney,"Disney or Pixar animation style, 3D rendered look, expressive big eyes, soft lighting, polished animated movie aesthetic",93,false,2026-02-06 08:44:32.292128+00,false,false,
tv_hellish,tv,😈,Хазбин,Hazbin,"Hazbin Hotel or Helluva Boss style, demon aesthetic, sharp angles, red and black palette, edgy cartoon look",94,false,2026-02-06 08:44:32.292128+00,false,false,
ru_soviet_cartoon,russian,🎞️,Совмульт,Soviet Cartoon,"Soviet animation style like Nu Pogodi or Cheburashka, hand-painted aesthetic, warm nostalgic colors, classic USSR cartoon",100,false,2026-02-06 08:44:39.725597+00,false,false,
ru_ussr_aesthetic,russian,☭,Плакат СССР,USSR Poster,"Soviet propaganda poster style, constructivist aesthetic, bold red and gold colors, heroic worker pose, socialist realism, vintage USSR design",101,false,2026-02-06 08:44:39.725597+00,false,false,
ru_bogatyr,russian,🛡️,Богатырь,Bogatyr,"Russian bogatyr hero style, Tri Bogatyrya animation aesthetic, Slavic folklore, epic warrior, traditional Russian elements",102,false,2026-02-06 08:44:39.725597+00,false,false,
ru_gopnik,russian,🧢,Пацан,Gopnik,"Gopnik style, squatting pose, tracksuit Adidas aesthetic, Slavic meme culture, cigarette and semechki optional",103,false,2026-02-06 08:44:39.725597+00,false,false,
ru_90s,russian,📼,90-е,90s,"Russian 90s aesthetic, VHS quality, grainy texture, post-Soviet style, tracksuit gopnik vibe, nostalgic faded colors",104,false,2026-02-06 08:44:39.725597+00,true,false,